Prey,Primary_Component
ITPR1,2
ITPR2,2
ITPR3,2
ITSN1,14
ITSN2,7
JMJD1C,5
JPH1,2
KANK2,7
KARS,10
KBTBD8,7
KCTD12,1
KDM1A,5
KDM2B,5
KEAP1,1
KHDRBS1,4
KHDRBS3,4
KHNYN,1
KHSRP,4
KIAA0100,8
KIAA0232,10
KIAA0355,10
KIAA0368,13
KIAA0391,3
KIAA0753,10
KIAA0907,4
KIAA0922,10
KIAA1217,8
KIAA1429,5
KIAA1524,7
KIAA1671,8
KIDINS220,5
KIF13B,1
KIF14,8
KIF1B,1
KIF1BP,1
KIF1C,1
KIF3B,1
KIF7,8
KIZ,7
KLC2,8
KLHL15,7
KMT2A,13
KMT2D,5
KNL1,9
KNSTRN,9
KNTC1,1
KPNA3,11
KPNA4,11
KRR1,6
KTN1,2
L3MBTL2,1
LARP1,12
LARP1B,12
LARP4,12
LARP4B,12
LARP6,14
LARS,10
LAS1L,4
LATS2,8
LBR,2
LDHB,10
LEMD3,2
LENG8,5
LEO1,5
LETM1,3
LGALS3BP,1
LIG1,11
LIMD1,7
LINS1,9
LLPH,1
LMAN1,2
LMNB1,2
LMNB2,2
LNPK,2
LOC100506562,6
LOC100652741,5
LPGAT1,2
LPP,1
LRIG2,2
LRPPRC,3
LRRC49,10
LRRC59,2
LRSAM1,7
LSG1,2
LSM1,9
LSM11,9
LSM12,1
LSM14A,1
LSM14B,1
LSM2,9
LSM3,9
LSM4,9
LSM5,9
LSM6,9
LSM7,9
LSM8,9
LTV1,12
LUZP1,1
LYPLAL1,3
LZTS1,8
LZTS2,7
MAD2L2,11
MAEL,5
MAGED1,12
MAGI1,1
MAGOH,1
MAGT1,2
MAK16,6
MAML1,5
MAP2K1,1
MAP3K7,8
MAP7D3,1
MAPRE1,1
MARF1,1
MARK1,7
MARK2,7
MARK3,7
MASTL,11
MATR3,4
MBNL1,4
MBNL2,12
MBOAT2,2
MBOAT7,2
MCM10,11
MCM3AP,11
MCRIP1,1
MCRIP2,12
MCU,12
MDH2,3
MECOM,5
MED27,5
MEF2D,5
METTL14,13
METTL3,11
MEX3A,1
MEX3D,12
MFAP1,11
MGA,10
MGME1,3
MIA2,7
MIA3,1
MIB1,2
MIB2,7
MICAL3,2
MIF4GD,1
MIS18BP1,8
MKRN1,1
MKRN2,12
MLF1,1
MLF2,1
MLLT10,5
MLLT6,5
MMAB,3
MMGT1,2
MMS19,7
MOB2,1
MORC2,11
MORC4,5
