Method,Bait_Length,Component,NMF_Correlation
XGBoost,60,5,0.9998094883458446
XGBoost,60,6,0.9989363625785299
XGBoost,60,7,0.9834589536697023
XGBoost,60,8,0.9964973933957154
XGBoost,60,9,0.8521966878206211
XGBoost,60,10,0.9912338742993253
XGBoost,60,11,0.99923211974555
XGBoost,60,12,-0.04315875533129332
XGBoost,60,13,0.9983364375613415
XGBoost,60,14,0.998693131532074
Neural_Network,60,1,0.9496348279751953
Neural_Network,60,2,0.9999974170425894
Neural_Network,60,3,0.9999847745195729
Neural_Network,60,4,0.9998838627141987
Neural_Network,60,5,0.9997875021620755
Neural_Network,60,6,0.9997843958963092
Neural_Network,60,7,0.9818828916956233
Neural_Network,60,8,0.9994634789366011
Neural_Network,60,9,0.9533069350971702
Neural_Network,60,10,0.9869551513071254
Neural_Network,60,11,0.9986289040894175
Neural_Network,60,12,0.9959804353165593
Neural_Network,60,13,0.9987613722082413
Neural_Network,60,14,0.9989679968728201
GENBAIT,60,1,0.989936982769156
GENBAIT,60,2,0.9999991484138556
GENBAIT,60,3,0.9999949330362711
GENBAIT,60,4,0.9999231045250315
GENBAIT,60,5,0.9996956195184402
GENBAIT,60,6,0.999835290372534
GENBAIT,60,7,0.9975896641244503
GENBAIT,60,8,0.9999142653143623
GENBAIT,60,9,0.9997932958160817
GENBAIT,60,10,0.9987994034555749
GENBAIT,60,11,0.9976941172541006
GENBAIT,60,12,0.9968696399805442
GENBAIT,60,13,0.9973897312681255
GENBAIT,60,14,0.9993004259810776
Chi2,90,1,0.9969793795766781
Chi2,90,2,0.999998423227198
Chi2,90,3,0.9999954052254387
Chi2,90,4,0.9999950463442373
Chi2,90,5,0.9998223578744343
Chi2,90,6,0.9998905464176244
Chi2,90,7,0.9994081278184607
Chi2,90,8,0.9999205283931435
Chi2,90,9,0.9999778743772162
Chi2,90,10,0.9984344169563465
Chi2,90,11,0.999641361147203
Chi2,90,12,0.999848096773815
Chi2,90,13,0.9999995417755119
Chi2,90,14,0.9993376422112091
F_classif,90,1,0.9978093680048595
F_classif,90,2,0.9999983728836545
F_classif,90,3,0.9999954294635792
F_classif,90,4,0.9999953273313974
F_classif,90,5,0.9998225744625888
F_classif,90,6,0.9998938607283939
F_classif,90,7,0.999238339591284
F_classif,90,8,0.9999314754696549
F_classif,90,9,0.9999795424641319
F_classif,90,10,0.9989097857921444
F_classif,90,11,0.9996410056263912
F_classif,90,12,0.9998207589985155
F_classif,90,13,0.9999992793583107
F_classif,90,14,0.9994498539486301
Mutual_Info,90,1,0.9987860525384238
Mutual_Info,90,2,0.9999998548171595
Mutual_Info,90,3,0.9999995460261596
Mutual_Info,90,4,0.9999836601560831
Mutual_Info,90,5,0.9997411928078285
Mutual_Info,90,6,0.9999802307027276
Mutual_Info,90,7,0.9994835171369035
Mutual_Info,90,8,0.9999916264425239
Mutual_Info,90,9,0.9998540202567362
Mutual_Info,90,10,0.9988461777515312
Mutual_Info,90,11,0.9987081744089613
Mutual_Info,90,12,0.9993846817589828
Mutual_Info,90,13,0.9987669053985168
Mutual_Info,90,14,0.9996132365717335
Lasso,90,1,0.8026283577607882
Lasso,90,2,0.9999992620795736
Lasso,90,3,0.9999709353051336
Lasso,90,4,0.9987640632178596
Lasso,90,5,0.9999843197146395
Lasso,90,6,0.9998135486636307
Lasso,90,7,0.9854737041026943
Lasso,90,8,0.9997041784495094
Lasso,90,9,0.852193530820469
Lasso,90,10,0.9941403627690386
Lasso,90,11,0.9999183643846655
