Bait,Prey
AARS2,DENND5B
AARS2,DENND6A
AARS2,DEPDC1
AARS2,DEPDC1B
AARS2,DES
AARS2,DGKD
AARS2,DGKH
AARS2,DHRS1
AARS2,DHRS13
AARS2,DHTKD1
AARS2,DHX33
AARS2,DHX8
AARS2,DICER1
AARS2,DIP2A
AARS2,DIXDC1
AARS2,DLG3
AARS2,DLG5
AARS2,DLGAP4
AARS2,DLX6
AARS2,DMAP1
AARS2,DMTN
AARS2,DMXL1
AARS2,DNAAF2
AARS2,DNAH10
AARS2,DNAH5
AARS2,DNAJB14
AARS2,DNAJC1
AARS2,DNAJC14
AARS2,DNAJC16
AARS2,DNAJC21
AARS2,DNAJC25
AARS2,DNAJC30
AARS2,DNMT3A
AARS2,DNTTIP2
AARS2,DOCK5
AARS2,DOCK9
AARS2,DOPEY1
AARS2,DOPEY2
AARS2,DOT1L
AARS2,DPF1
AARS2,DPY19L1
AARS2,DPY19L3
AARS2,DPYSL4
AARS2,DPYSL5
AARS2,DROSHA
AARS2,DSC2
AARS2,DSC3
AARS2,DSN1
AARS2,DTNA
AARS2,DTNB
AARS2,DVL1
AARS2,DVL2
AARS2,DVL3
AARS2,DZIP1
AARS2,DZIP3
AARS2,E2F3
AARS2,E2F6
AARS2,EAPP
AARS2,EBAG9
AARS2,EBPL
AARS2,EED
AARS2,EEPD1
AARS2,EFHD1
AARS2,EFNB2
AARS2,EFNB3
AARS2,EFR3A
AARS2,EHMT2
AARS2,EI24
AARS2,EIF2AK1
AARS2,EIF2AK3
AARS2,EIF3CL
AARS2,EIF4ENIF1
AARS2,ELF1
AARS2,ELF2
AARS2,ELL
AARS2,ELMOD3
AARS2,ELOVL2
AARS2,ELOVL4
AARS2,ELP4
AARS2,EMSY
AARS2,ENDOG
AARS2,ENPP1
AARS2,EPAS1
AARS2,EPB41L3
AARS2,EPB41L4A
AARS2,EPB41L4B
AARS2,EPB41L5
AARS2,EPHA3
AARS2,EPHA4
AARS2,EPHA7
AARS2,EPHB3
AARS2,EPN2
AARS2,ERAP2
AARS2,ERBB2
AARS2,ERBB4
AARS2,ERBIN
AARS2,ERC2
AARS2,ERCC1
AARS2,ERCC6
AARS2,ERICH1
AARS2,ERICH5
AARS2,ERLIN1
AARS2,ERLIN2
AARS2,ERN1
AARS2,ERO1B
AARS2,ESPL1
AARS2,ESS2
AARS2,ETAA1
AARS2,ETFRF1
AARS2,EVI5
AARS2,EXO1
AARS2,EXPH5
AARS2,EYA4
AARS2,EZH2
AARS2,FAAP20
AARS2,FAM110B
AARS2,FAM111B
AARS2,FAM122B
AARS2,FAM126A
AARS2,FAM135A
AARS2,FAM160A2
AARS2,FAM161A
AARS2,FAM169A
AARS2,FAM171A1
AARS2,FAM171A2
AARS2,FAM171B
AARS2,FAM184A
AARS2,FAM184B
AARS2,FAM213A
AARS2,FAM219A
AARS2,FAM219B
AARS2,FAM234A
AARS2,FAM234B
AARS2,FAM241A
AARS2,FAM76B
AARS2,FAM83B
AARS2,FAM83G
AARS2,FAM92A
AARS2,FAR2
AARS2,FARP2
AARS2,FASTKD1
AARS2,FASTKD3
AARS2,FBF1
AARS2,FBN2
AARS2,FBXL4
AARS2,FBXO17
AARS2,FBXO5
AARS2,FCGRT
AARS2,FCHO2
AARS2,FGD1
AARS2,FGD4
AARS2,FGD6
AARS2,FGFR1OP
AARS2,FGFRL1
AARS2,FGR
AARS2,FILIP1
AARS2,FITM2
AARS2,FLG2
AARS2,FLRT3
AARS2,FLYWCH1
AARS2,FMN2
AARS2,FOLH1B
AARS2,FOPNL
AARS2,FOXC1
AARS2,FOXO1
AARS2,FOXRED2
AARS2,FRAS1
AARS2,FREM2
AARS2,FRMD4B
AARS2,FRMD6
AARS2,FRMPD4
AARS2,FRS2
AARS2,FSD1
AARS2,FUNDC1
AARS2,FYN
AARS2,GAB1
AARS2,GALNT14
AARS2,GAS2L3
AARS2,GAS8
AARS2,GBA2
AARS2,GEN1
AARS2,GFAP
AARS2,GGA1
AARS2,GGA2
AARS2,GGCX
AARS2,GGT7
AARS2,GIGYF1
AARS2,GINM1
AARS2,GIT1
AARS2,GJA1
AARS2,GJC1
AARS2,GK
AARS2,GKAP1
AARS2,GLA
AARS2,GLE1
AARS2,GLI3
AARS2,GLUD2
AARS2,GLYR1
AARS2,GMEB2
AARS2,GORAB
AARS2,GPALPP1
AARS2,GPAM
AARS2,GPAT3
AARS2,GPAT4
AARS2,GPATCH1
AARS2,GPBP1
AARS2,GPBP1L1
AARS2,GPR107
AARS2,GPR108
AARS2,GPR155
AARS2,GPR89A
AARS2,GPRASP2
AARS2,GPRC5A
AARS2,GPRC5C
AARS2,GPRIN1
AARS2,GPRIN3
AARS2,GRAMD1A
AARS2,GRAMD1B
AARS2,GRAMD4
AARS2,GRINA
AARS2,GRIP1
AARS2,GSE1
AARS2,GTSE1
AARS2,GUSB
AARS2,GXYLT1
AARS2,H2AFX
AARS2,H2AFY
AARS2,H2AFY2
AARS2,H2AFZ
AARS2,H3F3A
AARS2,HABP4
AARS2,HACE1
AARS2,HAUS2
AARS2,HAUS4
AARS2,HAUS8
AARS2,HEG1
AARS2,HERPUD1
AARS2,HIRA
AARS2,HIRIP3
AARS2,HIST1H2AE
AARS2,HIST1H2AI
AARS2,HIST1H2BD
AARS2,HIST1H2BO
AARS2,HIST1H3A
AARS2,HIST1H3F
AARS2,HIST2H2AA4
AARS2,HIST2H2BF
AARS2,HIST2H3D
AARS2,HIVEP1
AARS2,HJURP
AARS2,HMG20A
AARS2,HMGCR
AARS2,HMGN2
AARS2,HMGXB4
AARS2,HNRNPA1L2
AARS2,HNRNPCL1
AARS2,HOXA13
AARS2,HOXA5
AARS2,HOXB9
AARS2,HOXC13
