Bait,Prey
AARS2,PLEKHM2
AARS2,PLEKHM3
AARS2,PLEKHO2
AARS2,PLGRKT
AARS2,PLPP1
AARS2,PLXNA1
AARS2,PLXNA2
AARS2,PML
AARS2,PMS1
AARS2,PNISR
AARS2,PNPLA8
AARS2,POC1B
AARS2,POC5
AARS2,PODXL
AARS2,POGLUT1
AARS2,POLE
AARS2,POLG
AARS2,POLR2J3
AARS2,POLR2M
AARS2,POLR3C
AARS2,POM121
AARS2,POM121C
AARS2,POP4
AARS2,POTEE
AARS2,PPAN-P2RY11
AARS2,PPIL2
AARS2,PPP1R15B
AARS2,PPP1R16B
AARS2,PPP1R18
AARS2,PPP1R9B
AARS2,PPP2R3A
AARS2,PPP2R3B
AARS2,PRAG1
AARS2,PRDM2
AARS2,PRKAA2
AARS2,PRKAR2B
AARS2,PRKCH
AARS2,PRKCQ
AARS2,PRKCZ
AARS2,PRKD3
AARS2,PROSER1
AARS2,PROSER3
AARS2,PRPH
AARS2,PRR11
AARS2,PRR12
AARS2,PRR14
AARS2,PRR14L
AARS2,PRR36
AARS2,PRR5
AARS2,PRR5-ARHGAP8
AARS2,PRRT4
AARS2,PTAR1
AARS2,PTBP2
AARS2,PTCH1
AARS2,PTK7
AARS2,PTPN13
AARS2,PTPN9
AARS2,PTPRG
AARS2,PTPRJ
AARS2,PTPRK
AARS2,PWWP2A
AARS2,QSER1
AARS2,R3HCC1L
AARS2,R3HDM1
AARS2,R3HDM2
AARS2,RAB11A
AARS2,RAB11FIP2
AARS2,RAB11FIP3
AARS2,RAB11FIP5
AARS2,RAB19
AARS2,RAB23
AARS2,RAB27B
AARS2,RAB31
AARS2,RAB34
AARS2,RAB3B
AARS2,RAB3IL1
AARS2,RAB3IP
AARS2,RAB4B
AARS2,RAB6B
AARS2,RAB8B
AARS2,RABAC1
AARS2,RABGEF1
AARS2,RAD51AP1
AARS2,RAD54L2
AARS2,RAI1
AARS2,RAI14
AARS2,RALGAPA2
AARS2,RAP1A
AARS2,RAP1B
AARS2,RAP2A
AARS2,RAPGEF6
AARS2,RAPH1
AARS2,RASA3
AARS2,RASEF
AARS2,RASSF5
AARS2,RASSF7
AARS2,RASSF8
AARS2,RAVER2
AARS2,RBAK
AARS2,RBFA
AARS2,RBFOX2
AARS2,RBM11
AARS2,RBM15B
AARS2,RBM20
AARS2,RBM27
AARS2,RBM33
AARS2,RBM34
AARS2,RBM41
AARS2,RBM7
AARS2,RBMS1
AARS2,RBMX2
AARS2,RBPJ
AARS2,RC3H2
AARS2,RCOR2
AARS2,RCOR3
AARS2,RECQL5
AARS2,REEP1
AARS2,REEP2
AARS2,RELL1
AARS2,RETREG1
AARS2,RETREG2
AARS2,REXO4
AARS2,RFT1
AARS2,RFTN1
AARS2,RGP1
AARS2,RGPD1
AARS2,RGPD6
AARS2,RGPD8
AARS2,RHBDD2
AARS2,RHBDD3
AARS2,RHBDF2
AARS2,RIC1
AARS2,RIOK1
AARS2,RIPK2
AARS2,RLF
AARS2,RMDN2
AARS2,RNF10
AARS2,RNF169
AARS2,RNF219
AARS2,RNF8
AARS2,ROBO1
AARS2,ROBO2
AARS2,ROR1
AARS2,ROR2
AARS2,RPAP3
AARS2,RPGR
AARS2,RPGRIP1L
AARS2,RPL36A-HNRNPH2
AARS2,RPS19BP1
AARS2,RPS6KA5
AARS2,RPS6KC1
AARS2,RRAGA
AARS2,RRAGB
AARS2,RRAGD
AARS2,RREB1
AARS2,RRP36
AARS2,RSBN1L
