Prey,Primary_Component
ANK2,18
ANK3,18
ANKFY1,14
ANKH,6
ANKHD1,8
ANKHD1-EIF4EBP3,8
ANKLE2,2
ANKRD11,11
ANKRD13C,12
ANKRD17,19
ANKRD26,9
ANKRD27,6
ANKRD28,16
ANKRD50,1
ANKRD52,16
ANKS1A,1
ANKS6,6
ANLN,1
ANO10,13
ANO5,8
ANO6,13
ANO8,2
ANP32E,7
ANTXR1,5
ANTXR2,1
ANXA6,20
AP1AR,14
AP1B1,6
AP1G1,6
AP1M1,6
AP2A1,8
AP2A2,8
AP2B1,6
AP2M1,6
AP2S1,8
AP3B1,6
AP3D1,6
AP3M1,11
AP3S1,6
AP3S2,6
AP4E1,14
APBB1,14
APBB2,14
APC,8
API5,15
APLP2,2
APMAP,5
APOL2,13
APOO,17
APOOL,17
APP,5
APPL1,14
APPL2,6
APRT,18
AQR,15
ARAF,1
ARAP2,18
ARC,1
ARCN1,2
AREL1,2
ARF1,6
ARF4,11
ARF5,12
ARF6,1
ARFGAP2,2
ARFGAP3,2
ARFGEF1,14
ARFGEF2,14
ARFGEF3,6
ARFIP1,6
ARFIP2,6
ARHGAP1,6
ARHGAP11A,1
ARHGAP12,1
ARHGAP17,1
ARHGAP18,1
ARHGAP21,16
ARHGAP29,8
ARHGAP31,1
ARHGAP32,8
ARHGAP35,1
ARHGAP39,1
ARHGAP5,1
ARHGDIA,1
ARHGEF1,1
ARHGEF10,14
ARHGEF11,1
ARHGEF12,1
ARHGEF16,1
ARHGEF18,8
ARHGEF2,16
ARHGEF26,1
ARHGEF6,8
ARHGEF7,8
ARID1A,10
ARID1B,10
ARID2,10
ARID3A,3
ARID3B,11
ARID4B,3
ARID5B,10
ARL1,11
ARL13B,6
ARL2,4
ARL3,6
ARL6IP5,13
ARMC10,12
ARMCX2,12
ARMCX3,12
ARMCX4,12
ARNT,10
ARPC1A,8
ARPC5,8
ARPC5L,8
ARPIN,8
ARV1,13
ARVCF,1
ASAP1,8
ASCC2,19
ASCC3,19
ASF1A,3
ASF1B,3
ASH2L,3
ASIC1,13
ASNS,8
ASPH,5
ASPM,9
ASXL2,8
ATAD1,12
ATAD2,3
ATAD3A,17
ATAD3B,17
ATAD5,3
ATF6,2
ATF7IP,20
ATG2A,14
ATG2B,12
ATG3,6
ATG4C,6
ATG9A,13
ATL1,2
ATL2,13
ATP11A,1
ATP11C,6
ATP13A1,13
ATP13A2,6
ATP13A3,6
ATP1A1,1
ATP1B3,1
ATP2A2,13
ATP2B1,1
ATP2B4,1
ATP2C1,6
ATP5F1A,4
ATP5F1B,4
ATP5F1C,4
ATP5IF1,4
ATP5ME,17
ATP5MF-PTCD1,4
ATP5PB,4
ATP5PF,4
ATP5PO,5
ATP6AP2,2
ATP6V1B1,1
ATP6V1B2,6
ATP6V1F,1
ATP6V1H,13
ATP7A,1
ATP7B,6
ATP8A1,6
ATP8B2,1
ATP9A,14
ATPAF1,4
ATRIP,9
ATRX,3
ATXN2,19
ATXN2L,19
ATXN3,12
AUP1,2
AURKA,1
AURKB,3
AVL9,6
AXIN1,8
AZI2,8
B3GALT6,2
B3GLCT,5
B4GALT3,5
B4GAT1,5
BAG2,9
BAG3,8
BAG6,19
BAHCC1,8
BAIAP2,1
BAIAP2L1,1
BANF1,3
BAP1,10
BASP1,1
BAX,12
BAZ1A,3
BAZ1B,3
BAZ2A,3
BAZ2B,11
BBS7,8
BBX,11
BCAP29,13
BCAP31,5
BCAR1,8
BCAR3,8
BCAS2,9
BCAS3,8
BCCIP,7
BCKDHA,4
BCKDK,4
BCL11A,11
BCL2L13,12
BCL7C,10
BCL9,8
BCLAF1,15
BCOR,10
BCORL1,11
BCR,1
BCS1L,4
BDP1,10
BEND3,10
BET1,2
BET1L,6
BFSP1,9
BHLHE40,8
BICD1,8
BICD2,9
BICRA,11
BID,16
BIRC6,9
BLM,7
BLOC1S6,6
BMP2K,14
BMS1,7
BNIP1,13
BNIP2,14
BNIP3,12
BNIP3L,12
BOD1L1,10
BOP1,7
BORCS5,6
BORCS6,6
BPTF,10
BRAF,1
BRCA1,10
BRCA2,8
BRD1,3
BRD2,3
BRD3,3
BRD4,10
BRD7,3
BRD8,3
BRI3BP,5
BRIP1,10
BRIX1,7
BRPF1,3
BRPF3,20
BRSK2,1
BRWD1,3
BSDC1,18
BSG,1
BTAF1,10
BTF3,7
BTF3L4,7
BTN3A2,1
BTN3A3,13
BUB1,8
BUB1B,8
BUD13,15
BUD31,3
BYSL,19
C10orf12,10
C10orf88,8
C11orf49,9
C11orf58,10
C12orf43,7
C12orf73,17
C16orf58,13
C16orf70,8
C17orf49,10
C17orf80,4
C18orf21,7
C18orf25,10
C18orf32,13
C19orf25,9
C19orf44,8
C19orf47,15
C1QBP,4
C1orf131,7
C1orf174,3
C1orf198,8
C1orf21,1
C1orf226,18
C1orf35,15
C1orf43,8
C1orf52,10
C21orf33,4
C2CD2L,2
C2CD3,9
C2CD4C,1
C2CD5,1
C5orf15,2
C5orf22,12
C6orf132,16
C6orf203,4
C6orf47,13
C7orf55-LUC7L2,16
C8orf59,7
C8orf82,4
C9orf72,6
C9orf78,20
CAAP1,15
CABIN1,10
CABLES1,1
CABYR,4
CACHD1,1
CACTIN,15
CACUL1,10
CACYBP,9
CAD,9
CADM1,1
CALCOCO1,9
CALD1,16
CALR,5
CALU,5
CAMK2D,9
CAMK2G,11
CAMLG,2
CAMSAP1,16
CAMSAP2,16
CAMSAP3,16
CAND1,11
CANT1,6
CANX,5
CAP1,16
CAP2,16
CAPRIN1,19
CAPZA1,8
CAPZA2,9
CAPZA3,10
CARD10,8
CARMIL1,1
CARMIL2,1
CARS2,4
CASK,1
CASKIN2,18
CASP8AP2,11
CASZ1,11
CAT,9
CAV1,6
CAVIN1,1
CBARP,1
CBL,16
CBR1,14
CBR3,20
CBX1,20
CBX2,3
CBX3,3
CBX4,11
CBX5,20
CBX8,3
CC2D1A,8
CCAR1,10
CCAR2,15
CCDC112,9
CCDC115,2
CCDC12,15
CCDC124,16
CCDC134,5
CCDC137,7
CCDC138,9
CCDC14,9
CCDC15,8
CCDC168,7
CCDC174,11
CCDC18,9
CCDC186,6
CCDC22,9
CCDC25,3
CCDC43,19
CCDC47,2
CCDC50,8
CCDC57,9
CCDC58,17
CCDC59,7
CCDC6,16
CCDC61,9
CCDC66,9
CCDC71L,3
CCDC77,9
CCDC8,1
CCDC85C,8
CCDC86,3
CCDC88A,18
CCDC88C,8
CCDC91,8
CCDC92,8
CCDC94,10
CCHCR1,8
CCM2,1
CCNB1,16
CCNB2,9
CCNK,15
CCNT1,10
CCNY,1
CCP110,8
CCPG1,2
CCSER1,18
CCSER2,16
CCT2,9
CCT3,9
CCT4,11
CCT5,16
CCT6A,16
CCT6B,16
CCT7,16
CCT8,16
CD2AP,8
CD2BP2,15
CD3EAP,11
CD44,1
CD99,1
CD99L2,1
CDAN1,10
CDC16,12
CDC23,12
CDC27,16
CDC37,8
CDC40,15
CDC42BPA,18
CDC42BPB,1
CDC42EP1,1
CDC42EP4,1
CDC5L,15
CDC73,15
CDCA2,3
CDCA3,1
CDCA5,3
CDCA8,3
CDH2,5
CDIPT,11
CDK1,11
CDK11A,15
CDK11B,10
CDK12,15
CDK13,15
CDK14,1
CDK16,1
CDK17,1
CDK2,11
CDK3,18
CDK4,20
CDK5RAP1,4
CDK5RAP2,16
CDK5RAP3,2
CDK9,10
CDKAL1,2
CDKL5,1
CDKN2A,12
CDKN2AIP,10
CDR2,9
CDR2L,9
CDS2,3
CDV3,19
CDYL,3
CEBPZ,7
CELF1,15
CELF2,15
CELSR1,2
CELSR2,1
CENPB,8
CENPC,11
CENPE,9
CENPF,10
CENPH,9
CENPI,3
CENPJ,8
CENPQ,3
CENPT,3
CENPU,3
CENPV,3
CEP104,16
CEP112,9
CEP120,9
CEP128,8
CEP131,9
CEP135,9
CEP152,9
CEP162,9
CEP164,8
CEP170,16
CEP170B,16
CEP192,8
CEP250,9
CEP290,9
CEP295,8
CEP350,9
CEP41,16
CEP44,16
CEP55,9
CEP57L1,9
CEP63,9
CEP70,8
CEP72,9
CEP85,8
CEP85L,9
CEP89,18
CEP95,9
CEP97,8
CEPT1,8
CERS1,13
CERS2,13
CERS4,13
CERS5,13
CERS6,13
CFAP36,4
CFAP97,16
CFDP1,11
CGN,8
CGNL1,8
CHAF1A,20
CHAF1B,10
CHAMP1,10
CHCHD3,17
CHCHD4,17
CHCHD6,17
CHD1,11
CHD1L,11
CHD2,15
CHD3,3
CHD4,3
CHD6,11
CHD7,11
CHD8,10
CHD9,11
CHERP,15
CHID1,5
CHM,1
CHML,14
CHMP2B,16
CHMP7,12
CHORDC1,8
CHP1,2
CHPT1,13
CHTOP,3
CIC,10
CIP2A,9
CISD1,12
CISD2,2
CIT,1
CIZ1,3
CKAP2,16
CKAP2L,16
CKAP4,2
CKAP5,16
CKB,17
CKMT1A,17
CKS2,8
CLASP1,16
CLASP2,16
CLASRP,15
CLCC1,2
CLCN7,6
CLDN1,1
CLEC16A,14
CLGN,13
CLINT1,6
CLIP1,16
CLMN,8
CLN6,11
CLN8,13
CLNS1A,1
CLP1,9
CLPB,17
CLPP,4
CLPTM1,5
CLPTM1L,5
CLPX,4
CLSPN,10
CLTC,8
CLTCL1,8
CLUH,4
CMAS,3
CMC4,17
CMPK1,4
CMSS1,7
CMTR1,10
CNDP2,9
CNIH4,11
CNN2,16
CNN3,16
CNNM2,18
CNNM3,1
CNNM4,1
CNOT1,8
CNOT10,8
CNOT2,19
CNOT3,19
CNP,1
CNPY2,5
CNPY3,5
CNTLN,9
CNTROB,8
COA7,17
COBL,16
COBLL1,18
COCH,5
COG1,18
COG2,18
COG3,18
COG4,18
COG5,18
COG7,16
COIL,7
COL14A1,5
COL18A1,5
COL4A3BP,18
COL6A1,5
COLEC12,14
COLGALT1,5
COMMD8,9
COMTD1,12
COPA,8
COPB1,18
COPB2,18
COPE,18
COPG1,2
COPG2,18
COQ3,4
COQ5,4
COQ6,4
COQ8A,4
CORO1C,8
CORO7,8
CORO7-PAM16,4
COX11,17
COX15,17
COX16,17
COX19,17
COX2,17
COX4I1,17
COX5A,17
COX5B,4
COX6B1,17
COX6C,17
COX7A2L,17
CPD,6
CPEB4,19
CPNE3,1
CPNE8,1
CPOX,17
CPSF3,16
CPSF6,15
CPSF7,15
CPVL,5
CRACR2A,14
CRAT,4
CREBBP,10
CRK,8
CRMP1,16
CRNKL1,15
CRTC1,8
CRYBG1,8
CRYBG3,8
CS,8
CSDE1,19
CSE1L,13
CSK,16
CSNK1A1,8
CSNK1E,9
CSNK1G2,1
CSNK1G3,1
CSNK2A2,3
CSNK2B,2
CSPG4,1
CSPP1,9
CSTF2,19
CSTF2T,8
CTCF,10
CTDP1,9
CTDSP1,6
CTDSPL2,3
CTIF,19
CTNNA1,8
CTNNA2,8
CTNNAL1,18
CTNNB1,18
CTNNBL1,7
CTNND1,1
CTR9,11
CTSA,5
CTSD,5
CTTN,8
CTTNBP2,16
CTTNBP2NL,8
CUEDC2,19
CUL2,8
CUL3,10
CUL4A,16
CUX1,10
CWC15,15
CWC22,15
CWC25,15
CWC27,15
CWF19L1,20
CWF19L2,15
CXADR,1
CXXC1,10
CXorf56,10
CXorf57,10
CYB5A,2
CYB5B,12
CYB5R1,12
CYB5R3,12
CYC1,17
CYCS,17
CYFIP1,1
CYFIP2,1
CYLD,8
CYP51A1,2
DAAM1,16
DAB2,8
DAB2IP,1
DACH1,11
DAG1,1
DAP3,17
DAPK1,14
DARS2,4
DAXX,20
DAZAP1,15
DBN1,8
DBNL,8
DBT,4
DCAF13,7
DCAF7,9
DCBLD1,1
DCDC2,16
DCLK1,16
DCLK2,16
DCP1A,8
DCP1B,8
DCTN1,16
DCTN2,9
DCTN3,9
DCTN4,16
DCTN6,14
DCUN1D3,1
DCXR,4
DDHD2,6
DDOST,5
DDRGK1,2
DDX10,7
DDX17,15
DDX18,7
DDX19B,11
DDX20,11
DDX21,7
DDX23,15
DDX24,11
DDX27,7
DDX28,4
DDX31,7
DDX39A,15
DDX39B,15
DDX3X,19
DDX41,15
DDX42,15
DDX46,15
DDX47,11
DDX49,7
DDX5,15
DDX50,7
DDX51,11
DDX52,7
DDX54,7
DDX55,7
DDX56,7
DDX59,15
DECR2,9
DEK,3
DENND1A,8
DENND2C,1
DENND4A,14
DENND4C,14
DENND5A,9
DENND5B,14
DENND6A,6
DEPDC1,1
DEPDC1B,6
DERL1,12
DES,8
DGCR8,10
DGKD,1
DGKE,13
DGKH,1
DHCR24,2
DHCR7,13
DHPS,9
DHRS1,12
DHRS13,2
DHRS4,9
DHRS7,13
DHTKD1,4
DHX16,15
DHX29,16
DHX30,4
DHX33,7
DHX37,7
DHX38,15
DHX40,11
DHX57,19
DHX8,15
DHX9,15
DIABLO,17
DIAPH1,1
DIAPH2,14
DIAPH3,1
DICER1,9
DIDO1,10
DIEXF,7
DIP2A,1
DIP2B,1
DIXDC1,16
DKC1,7
DLAT,4
DLD,4
DLG1,18
DLG3,1
DLG5,8
DLGAP4,1
DLGAP5,16
DLST,4
DLX6,11
DMAP1,3
DMD,18
DMTN,16
DMXL1,14
DMXL2,14
DNAAF2,8
DNAAF5,9
DNAH10,9
DNAH5,16
DNAJA1,6
DNAJA2,9
DNAJA3,4
DNAJB11,5
DNAJB12,5
DNAJB14,13
DNAJC1,13
DNAJC10,5
DNAJC11,17
DNAJC13,14
DNAJC14,2
DNAJC16,2
DNAJC17,3
DNAJC21,16
DNAJC25,13
DNAJC3,5
DNAJC30,4
DNAJC7,9
DNAJC8,10
DNAJC9,3
DNM1L,12
DNM2,9
DNMBP,8
DNMT1,3
DNMT3A,3
DNTTIP2,7
DOCK1,1
DOCK11,1
DOCK4,8
DOCK5,1
DOCK7,1
DOCK9,1
DOLPP1,13
DOPEY1,14
DOPEY2,14
DOT1L,9
DPF1,11
DPY19L1,13
DPY19L3,13
DPY30,10
DPYSL2,20
DPYSL3,20
DPYSL4,20
DPYSL5,20
DR1,3
DRG1,9
DROSHA,15
DSC2,18
DSC3,2
DSG2,18
DSN1,20
DSP,9
DST,18
DSTN,11
DTNA,18
DTNB,18
DTNBP1,6
DUSP12,7
DVL1,18
DVL2,9
DVL3,8
DYNC1H1,12
DYNC1I2,16
DYNC1LI1,16
DYNC1LI2,16
DZIP1,18
DZIP3,9
E2F3,11
E2F6,3
EAPP,15
EARS2,4
EBAG9,2
EBNA1BP2,7
EBP,13
EBPL,13
ECD,15
ECE1,14
ECH1,4
ECHS1,4
ECI2,4
ECSIT,4
ECT2,1
EDC3,9
EDC4,8
EDF1,16
EDRF1,9
EEA1,6
EED,3
EEF1E1,1
EEF2K,16
EEPD1,1
EFHD1,16
EFL1,7
EFNB1,1
EFNB2,1
EFNB3,1
EFR3A,18
EFR3B,18
EFTUD2,15
EGFR,1
EGLN1,19
EHBP1,14
EHD1,6
EHD4,6
EHHADH,9
EHMT1,20
EHMT2,20
EI24,13
EIF2A,19
EIF2AK1,9
EIF2AK2,11
EIF2AK3,2
EIF2S1,9
EIF2S3,9
EIF3A,19
EIF3B,7
EIF3C,19
EIF3CL,2
EIF3D,9
EIF3F,11
EIF3G,19
EIF3H,2
EIF3J,7
EIF3K,2
EIF3L,19
EIF4A2,20
EIF4B,19
EIF4E2,8
EIF4ENIF1,8
EIF4G2,19
EIF4H,19
EIF5B,19
ELAC2,4
ELAVL1,15
ELF1,3
ELF2,10
ELL,10
ELMOD3,18
ELMSAN1,3
ELOA,7
ELOVL1,13
ELOVL2,13
ELOVL4,13
ELP1,9
ELP4,16
ELP6,8
EMC1,5
EMC2,2
EMC7,13
EMC8,2
EMD,2
EML4,16
EMSY,10
ENAH,8
ENDOG,17
ENO1,8
ENPP1,5
ENSA,16
EP400,10
EPAS1,15
EPB41,1
EPB41L1,18
EPB41L2,1
EPB41L3,18
EPB41L4A,18
EPB41L4B,18
EPB41L5,18
EPHA2,1
EPHA3,18
EPHA4,18
EPHA7,1
EPHB2,1
EPHB3,18
EPHB4,1
EPN1,1
EPN2,14
EPPK1,12
EPRS,9
EPS15,8
EPS15L1,8
EPS8,1
ERAL1,4
ERAP1,5
ERAP2,5
ERBB2,18
ERBB4,18
ERBIN,18
ERC1,9
ERC2,2
ERCC1,3
ERCC4,10
ERCC5,10
ERCC6,3
ERCC6L,8
ERGIC1,13
ERGIC2,13
ERGIC3,13
ERH,15
ERICH1,11
ERICH5,18
ERLIN1,5
ERLIN2,5
ERN1,13
ERO1A,5
ERO1B,5
ERP29,5
ERP44,5
ESF1,7
ESPL1,16
ESS2,10
ESYT1,2
ESYT2,1
ETAA1,8
ETFA,4
ETFB,4
ETFRF1,4
EVI5,14
EVI5L,14
EVL,8
EWSR1,15
EXD2,12
EXO1,10
EXOC1,14
EXOC2,14
EXOC3,14
EXOC4,14
EXOC5,14
EXOC6,14
EXOC6B,14
EXOC7,14
EXOG,17
EXOSC10,7
EXOSC3,3
EXOSC6,3
EXOSC8,3
EXOSC9,7
EXPH5,8
EYA3,10
EYA4,9
EZH2,3
EZR,16
F11R,1
FAAP20,8
FADS2,13
FAF2,2
FAM105A,13
FAM107B,8
FAM110B,8
FAM111B,8
FAM114A2,13
FAM120A,19
FAM120C,19
FAM122B,10
FAM126A,1
FAM129A,14
FAM129B,18
FAM135A,6
FAM136A,17
FAM160A1,14
FAM160A2,14
FAM161A,16
FAM162A,17
FAM169A,2
FAM171A1,18
FAM171A2,18
FAM171B,18
FAM177A1,12
FAM184A,9
FAM184B,9
FAM192A,10
FAM193A,8
FAM207A,7
FAM208A,15
FAM208B,10
FAM213A,12
FAM219A,6
FAM219B,6
FAM234A,1
FAM234B,6
FAM241A,2
FAM32A,7
FAM50A,10
FAM76B,9
FAM83B,1
FAM83G,8
FAM83H,8
FAM91A1,14
FAM92A,1
FANCD2,8
FANCI,3
FAR1,12
FAR2,12
FARP1,18
FARP2,1
FARSA,8
FASTKD1,4
FASTKD2,4
FASTKD3,4
FASTKD5,4
FBF1,8
FBL,7
FBN2,5
FBXL4,12
FBXO17,2
FBXO30,8
FBXO5,9
FCGRT,14
FCHO2,1
FDFT1,2
FDX1,4
FDXR,4
FECH,4
FEN1,3
FERMT2,1
FGD1,1
FGD4,16
FGD6,1
FGFR1OP,16
FGFRL1,6
FGR,18
FHOD1,16
FILIP1,16
FIP1L1,15
FITM2,13
FKBP10,5
FKBP14,5
FKBP15,8
FKBP2,5
FKBP3,19
FKBP4,9
FKBP8,12
FLAD1,4
FLG2,9
FLII,8
FLJ44635,8
FLOT1,18
FLOT2,18
FLRT3,1
FLVCR1,1
FLYWCH1,11
FLYWCH2,3
FMN2,1
FMNL2,1
FMR1,19
FNBP1,1
FNBP1L,8
FNBP4,15
FNDC3A,2
FOLH1B,3
FOPNL,9
FOXC1,11
FOXK1,11
FOXK2,10
FOXO1,8
FOXRED1,4
FOXRED2,5
FRAS1,13
FREM2,5
FRG1,3
FRMD4B,8
FRMD6,1
FRMPD4,18
FRS2,18
FSD1,16
FTO,3
FTSJ1,1
FTSJ3,7
FUBP1,15
FUBP3,19
FUNDC1,12
FUNDC2,12
FUS,15
FXR1,19
FXR2,19
FYCO1,6
FYN,2
FZD6,6
G3BP1,19
G3BP2,19
GAB1,18
GABPA,20
GAK,8
GALNT14,5
GANAB,5
GAPDH,16
GAPVD1,1
GAR1,19
GARS,4
GAS2L3,16
GAS8,9
GATAD2A,10
GATAD2B,10
GATB,4
GBA,5
GBA2,2
GBF1,18
GCC1,18
GCC2,9
GCDH,4
GCFC2,15
GCN1,19
GDI1,6
GDI2,6
GEMIN4,9
GEN1,16
GFAP,8
GFER,17
GFM1,4
GFM2,4
GGA1,14
GGA2,8
GGA3,14
GGCX,13
GGH,5
GGT7,13
GHITM,17
GIGYF1,8
GIGYF2,19
GINM1,6
GIPC1,14
GIT1,8
GIT2,8
GJA1,6
GJC1,18
GK,12
GKAP1,19
GLA,5
GLE1,8
GLG1,5
GLI3,8
GLMN,9
GLRX3,14
GLRX5,4
GLS,4
GLUD1,4
GLUD2,16
GLYR1,3
GMEB2,10
GNA11,1
GNA13,1
GNAI2,1
GNAI3,1
GNL2,7
GNL3,7
GNL3L,7
GNPAT,9
GOLGA2,18
GOLGA3,2
GOLGA4,6
GOLGA5,6
GOLGB1,18
GOLPH3,13
GOPC,6
GORAB,2
GORASP2,6
GOSR1,6
GOSR2,13
GPALPP1,15
GPAM,12
GPAT3,2
GPAT4,13
GPATCH1,8
GPATCH11,10
GPATCH4,7
GPATCH8,15
GPBP1,19
GPBP1L1,19
GPD2,17
GPHN,8
GPKOW,3
GPN1,9
GPR107,2
GPR108,1
GPR155,6
GPR180,13
GPR89A,13
GPRASP2,12
GPRC5A,14
GPRC5C,14
GPRIN1,18
GPRIN3,1
GPX4,11
GPX8,5
GRAMD1A,5
GRAMD1B,8
GRAMD4,13
GRINA,6
GRIP1,18
GRIPAP1,14
GRK2,8
GRPEL1,4
GRSF1,4
GRWD1,11
GSE1,8
GSK3B,8
GSTK1,4
GTF2A1,10
GTF2B,3
GTF2E1,11
GTF2E2,3
GTF2F1,3
GTF2F2,3
GTF2I,10
GTF3C1,11
GTF3C2,3
GTF3C3,11
GTF3C4,10
GTF3C5,11
GTPBP1,8
GTPBP10,4
GTPBP3,4
GTPBP4,7
GTPBP6,4
GTSE1,16
GUF1,4
GUSB,5
GXYLT1,5
GYG1,8
H1F0,3
H1FX,7
H2AFX,3
H2AFY,3
H2AFY2,3
H2AFZ,3
H3F3A,15
HABP4,19
HACD2,13
HACD3,13
HACE1,14
HACL1,9
HADH,4
HADHA,4
HARS2,4
HAT1,3
HAUS1,9
HAUS2,9
HAUS3,9
HAUS4,9
HAUS5,9
HAUS6,9
HAUS7,9
HAUS8,9
HAX1,17
HBS1L,19
HCCS,17
HCFC1,10
HCFC2,10
HDAC1,11
HDAC2,11
HDGF,3
HDGFL2,15
HDHD5,4
HDLBP,19
HEATR1,7
HEATR5A,14
HEATR5B,14
HECTD1,9
HEG1,14
HELLS,3
HELZ,19
HERC1,9
HERC2,8
HERPUD1,13
HGS,8
HIBCH,4
HIGD2A,17
HINT1,8
HINT2,4
HIP1,8
HIP1R,9
HIRA,10
HIRIP3,3
HIST1H1C,7
HIST1H1E,7
HIST1H2AE,9
HIST1H2AI,11
HIST1H2BD,5
HIST1H2BO,3
HIST1H3A,8
HIST1H3F,8
HIST1H4J,2
HIST2H2AA4,3
HIST2H2AB,3
HIST2H2BF,3
HIST2H3D,9
HIST2H4B,3
HIVEP1,11
HJURP,3
HK1,12
HK2,12
HLA-A,1
HLA-C,13
HLCS,16
HLTF,11
HM13,13
HMG20A,3
HMGA1,3
HMGA2,3
HMGB1,11
HMGB2,11
HMGB3,3
HMGCR,13
HMGN1,3
HMGN2,7
HMGXB4,3
HMMR,16
HMOX2,13
HNRNPA0,15
HNRNPA1L2,18
HNRNPA2B1,15
HNRNPA3,15
HNRNPAB,15
HNRNPC,15
HNRNPCL1,10
HNRNPD,15
HNRNPDL,15
HNRNPF,15
HNRNPH1,15
HNRNPH2,15
HNRNPH3,15
HNRNPK,15
HNRNPL,15
HNRNPM,15
HNRNPR,15
HNRNPU,15
HNRNPUL1,15
HOOK1,8
HOOK3,18
HOXA13,11
HOXA5,11
HOXB9,11
HOXC13,11
HOXC9,11
HOXD13,11
HP1BP3,3
HPS3,6
HS1BP3,8
HSD17B10,4
HSD17B11,13
HSD17B12,13
HSD17B4,9
HSDL1,12
HSDL2,4
HSP90B1,5
HSPA12A,1
HSPA13,5
HSPA1A,6
HSPA1B,8
HSPA1L,9
HSPA2,20
HSPA4,9
HSPA5,5
HSPA8,9
HSPA9,4
HSPD1,4
HSPE1,4
HTATSF1,10
HTT,14
HUWE1,12
HYOU1,5
IARS,9
IARS2,4
IBA57,4
IBTK,19
ICE1,9
ICE2,8
ICMT,13
IDH2,4
IDH3B,4
IFFO1,8
IFFO2,8
IFIT2,2
IFNGR1,14
IFT172,9
IFT20,9
IFT57,9
IFT74,9
IFT81,9
IGF1R,1
IGF2BP1,19
IGF2BP2,19
IGF2BP3,19
IGF2R,6
IGSF3,1
IK,15
IKBIP,5
IKBKB,6
ILDR2,18
ILF3,15
ILKAP,3
ILVBL,13
IMMP1L,17
IMMT,17
IMP3,7
IMPAD1,5
IMPDH1,16
INA,8
INCENP,3
INF2,2
INPP5B,6
INPP5F,14
INPPL1,1
INSR,1
INTS1,3
INTS12,10
INTS3,3
INTS4,10
INTS6,9
INTS9,10
IP6K1,2
IPMK,8
IPO11,8
IPO4,11
IPO5,12
IPO7,16
IPO8,16
IPO9,3
IQCB1,9
IQCC,8
IQGAP1,1
IQGAP2,1
IQSEC1,1
IQSEC2,1
IRAK1,8
IRF2BP2,10
IRS2,1
IRS4,1
ISCU,4
ISG20L2,7
ITCH,6
ITGA1,18
ITGA2,1
ITGA4,1
ITGA5,1
ITGA6,1
ITGAV,18
ITGB1,1
ITGB5,14
ITM2B,18
ITM2C,2
ITPKA,16
ITPR1,2
ITPR2,2
ITPR3,2
ITPRIP,13
ITSN1,8
ITSN2,8
IWS1,15
JADE3,11
JAG1,1
JAG2,2
JAGN1,13
JAK1,2
JAKMIP1,16
JAM3,1
JCAD,8
JMJD1C,10
JMJD6,15
JMY,8
JPH1,2
JUN,10
JUP,18
KALRN,18
KANK1,9
KANK2,8
KANSL3,10
KARS,4
KAT6A,3
KAT7,3
KAT8,3
KATNA1,16
KATNB1,16
