Chi2_30,F_classif_30,Mutual_Info_30,Lasso_30,Ridge_30,Elastic_Net_30,Random_Forest_30,Gradient_Boosting_30,XGBoost_30,Neural_Network_30,GENBAIT_30,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_90,F_classif_90,Mutual_Info_90,Lasso_90,Ridge_90,Elastic_Net_90,Random_Forest_90,Gradient_Boosting_90,XGBoost_90,Neural_Network_90,GENBAIT_90
CALR3,SYNE3_Cterm,RAB11A,B3GAT1,FBL,CAV1,RPL31,RPS24,B3GAT1,DDX23,POLR2C,CALR3,SYNE3_Cterm,RAB11A,B3GAT1,FBL,CAV1,RPL31,RPS24,B3GAT1,PARP1,GJA1,CALR3,SYNE3_Cterm,RAB11A,B3GAT1,FBL,CAV1,RPL31,RPS24,B3GAT1,ARF6,CS
SYNE3_Cterm,CBX3,RPN1,PDHA1,SYNE3_Nterm,SV40_NLS,LAMP2,DCTN1,ANAPC2,COX8A_target,RAB4A,SYNE3_Cterm,CBX3,RPN1,PDHA1,SYNE3_Nterm,SV40_NLS,LAMP2,DCTN1,ANAPC2,GJD3,GJD3,SYNE3_Cterm,CBX3,RPN1,PDHA1,SYNE3_Nterm,SV40_NLS,LAMP2,DCTN1,ANAPC2,PARP1,CTNNB1
HNRNPA1,SEC62,ZNF330_target,RAB11A,SEC61B_Cterm,B3GAT1,LAMTOR1_target_peptide,RAB9A,RPS24,AARS2,RPN1,HNRNPA1,SEC62,ZNF330_target,RAB11A,SEC61B_Cterm,B3GAT1,LAMTOR1_target_peptide,RAB9A,RPS24,COX8A_target,HIST1H2BG,HNRNPA1,SEC62,ZNF330_target,RAB11A,SEC61B_Cterm,B3GAT1,LAMTOR1_target_peptide,RAB9A,RPS24,SEC61B_Nterm,CYP2C1_sigseq
RPS24,DCTN1,ARF6,COX4I1,MAPRE3,LAMTOR1_target_peptide,LRRC59_Cterm,ACTB,SSR1,LAMP2,RPS20,RPS24,DCTN1,ARF6,COX4I1,MAPRE3,LAMTOR1_target_peptide,LRRC59_Cterm,ACTB,SSR1,SEC61B_Nterm,KRAS_Q61H,RPS24,DCTN1,ARF6,COX4I1,MAPRE3,LAMTOR1_target_peptide,LRRC59_Cterm,ACTB,SSR1,CS,DCTN1
MAPRE3,RPS24,LYN,HNRNPA1,DCTN1,PDHA1,SEC61B_Cterm,MAPRE3,ASH2L,PARP1,RPS6,MAPRE3,RPS24,LYN,HNRNPA1,DCTN1,PDHA1,SEC61B_Cterm,MAPRE3,ASH2L,METTL7A,KRAS_target,MAPRE3,RPS24,LYN,HNRNPA1,DCTN1,PDHA1,SEC61B_Cterm,MAPRE3,ASH2L,METTL7A,DDX23
KRAS_Q61H,METTL7A,COX8A_target,CAV1,ASF1A,SFXN1,DHX8,SFXN1,DCTN1,LYN,SFXN1,KRAS_Q61H,METTL7A,COX8A_target,CAV1,ASF1A,SFXN1,DHX8,SFXN1,DCTN1,DDX23,LAMP1,KRAS_Q61H,METTL7A,COX8A_target,CAV1,ASF1A,SFXN1,DHX8,SFXN1,DCTN1,RAB4A,DHFRL1
SEC62,TRAP1,CD3EAP,RPL31,LAMTOR1_target_peptide,RPL31,RAB9A,DDX23,PCM1,RAB9A,SV40_NLS,SEC62,TRAP1,CD3EAP,RPL31,LAMTOR1_target_peptide,RPL31,RAB9A,DDX23,PCM1,SYNE3_Nterm,LAMP2,SEC62,TRAP1,CD3EAP,RPL31,LAMTOR1_target_peptide,RPL31,RAB9A,DDX23,PCM1,DDX23,DHX8
SEC61B_Nterm,KRAS_Q61H,OCLN,SEC61B_Cterm,HIST1H3A,LAMP2,SEC61B_Nterm,LAMTOR1_target_peptide,TERF2IP,METTL7A,TERF2IP,SEC61B_Nterm,KRAS_Q61H,OCLN,SEC61B_Cterm,HIST1H3A,LAMP2,SEC61B_Nterm,LAMTOR1_target_peptide,TERF2IP,AARS2,LAMP3,SEC61B_Nterm,KRAS_Q61H,OCLN,SEC61B_Cterm,HIST1H3A,LAMP2,SEC61B_Nterm,LAMTOR1_target_peptide,TERF2IP,PCM1,EBAG9
NIFK,MAPRE3,HSD17B11,CD3EAP,B3GAT1,SEC61B_Cterm,B3GAT1,KRAS_Q61H,PDIA4,RPS20,TMOD1,NIFK,MAPRE3,HSD17B11,CD3EAP,B3GAT1,SEC61B_Cterm,B3GAT1,KRAS_Q61H,PDIA4,LYN,LAMTOR1_target_peptide,NIFK,MAPRE3,HSD17B11,CD3EAP,B3GAT1,SEC61B_Cterm,B3GAT1,KRAS_Q61H,PDIA4,GJD3,EMD
TRAP1,LYN,LAMTOR1_target_peptide,CS,PARP1,ASF1A,CD3EAP,SV40_NLS,LAMP2,RAB2A,TRIM36_Nterm,TRAP1,LYN,LAMTOR1_target_peptide,CS,PARP1,ASF1A,CD3EAP,SV40_NLS,LAMP2,PCM1,LATS1,TRAP1,LYN,LAMTOR1_target_peptide,CS,PARP1,ASF1A,CD3EAP,SV40_NLS,LAMP2,RPN1,FBL
LYN,HSD17B11,B3GAT1,GJD3,LAMP2,NUP50,DCTN1,CS,DHX8,SYNE3_Nterm,ZFPL1,LYN,HSD17B11,B3GAT1,GJD3,LAMP2,NUP50,DCTN1,CS,DHX8,B3GAT1,LRRC59_Cterm,LYN,HSD17B11,B3GAT1,GJD3,LAMP2,NUP50,DCTN1,CS,DHX8,COX8A_target,GJA1
METTL7A,OCLN,SYNE3_Nterm,LAMTOR1_target_peptide,RPL31,GJD3,CEP135,RPL31,POLR2C,PCM1,ZNF330_target,METTL7A,OCLN,SYNE3_Nterm,LAMTOR1_target_peptide,RPL31,GJD3,CEP135,RPL31,POLR2C,ELOVL5,LYN,METTL7A,OCLN,SYNE3_Nterm,LAMTOR1_target_peptide,RPL31,GJD3,CEP135,RPL31,POLR2C,SYNE3_Nterm,GJD3
,,,,,,,,,,,RPS6,SSR1,COIL,PCM1,DHX8,DHX8,MAPRE3,PCM1,EBAG9,RAB9A,MAPRE1,RPS6,SSR1,COIL,PCM1,DHX8,DHX8,MAPRE3,PCM1,EBAG9,LYN,HIST1H2BG
,,,,,,,,,,,DHX8,NIFK,CAV1,OCLN,CAV1,HIST1H3A,COX8A_target,RAB4A,COIL,RAB2A,MAPRE3,DHX8,NIFK,CAV1,OCLN,CAV1,HIST1H3A,COX8A_target,RAB4A,COIL,RAB2A,HIST1H3A
,,,,,,,,,,,DDX23,RPS6,RAB4A,LRRC59_Cterm,GOLGA2,ELOVL5,RPS20,EBAG9,HIST1H2BG,LAMP2,METTL7A,DDX23,RPS6,RAB4A,LRRC59_Cterm,GOLGA2,ELOVL5,RPS20,EBAG9,HIST1H2BG,AARS2,HNRNPA1
,,,,,,,,,,,TRIM36_Nterm,LRRC59_Nterm,METTL7A,CEP135,NUP50,FBL,PCM1,GJD3,AARS2,RPN1,NDC80,TRIM36_Nterm,LRRC59_Nterm,METTL7A,CEP135,NUP50,FBL,PCM1,GJD3,AARS2,RPS20,HSD17B11
,,,,,,,,,,,NOP56,CKAP4,C11orf52,NUP50,PRPF8,RAB2A,ACTB,B3GAT1,RPL31,RPS20,NIFK,NOP56,CKAP4,C11orf52,NUP50,PRPF8,RAB2A,ACTB,B3GAT1,RPL31,LRRC59_Cterm,KRAS_Q61H
,,,,,,,,,,,OCLN,EMD,SV40_NLS,ARF6,KDM1A,TRIM36_Nterm,CENPA,NDC80,NDC80,GJA1,NOP56,OCLN,EMD,SV40_NLS,ARF6,KDM1A,TRIM36_Nterm,CENPA,NDC80,NDC80,ELOVL5,KRAS_target
,,,,,,,,,,,HSD17B11,NOP56,RAB35,RAB2A,NUP155_Nterm,OCLN,NDC80,ASF1A,CAMSAP2,DCTN1,OCLN,HSD17B11,NOP56,RAB35,RAB2A,NUP155_Nterm,OCLN,NDC80,ASF1A,CAMSAP2,SEC62,KRT18
,,,,,,,,,,,RAB11A,AIFM1,RPL31,ELOVL5,ACTB,NUP155_Nterm,RAB4A,LAMP1,SYNE3_Nterm,RPL31,PARP1,RAB11A,AIFM1,RPL31,ELOVL5,ACTB,NUP155_Nterm,RAB4A,LAMP1,SYNE3_Nterm,B3GAT1,KRT19
,,,,,,,,,,,AIFM1,C11orf52,ZFPL1,MAPRE1,EBAG9,PARP1,RPS24,ARF6,AGPS,MAPRE3,PCM1,AIFM1,C11orf52,ZFPL1,MAPRE1,EBAG9,PARP1,RPS24,ARF6,AGPS,ZNF330_target,LAMP2
,,,,,,,,,,,SSR1,TRIM36_Nterm,DDX23,ASF1A,RAB2A,PCM1,LYN,ACTR1A,PANX1,ZFPL1,PDHA1,SSR1,TRIM36_Nterm,DDX23,ASF1A,RAB2A,PCM1,LYN,ACTR1A,PANX1,GJA1,LAMP3
,,,,,,,,,,,EMD,DERL1,PARP1,LYN,ZNF330_target,RAB9A,ARF6,SSR1,LYN,SEC62,PHB2,EMD,DERL1,PARP1,LYN,ZNF330_target,RAB9A,ARF6,SSR1,LYN,RPL31,LAMTOR1
,,,,,,,,,,,LRRC59_Nterm,HNRNPA1,RAB9A,HIST1H3A,AGPS,PXMP2,RPS6,CD3EAP,MAPRE3,OCLN,RAB11A,LRRC59_Nterm,HNRNPA1,RAB9A,HIST1H3A,AGPS,PXMP2,RPS6,CD3EAP,MAPRE3,OCLN,LAMTOR1_target_peptide
,,,,,,,,,,,MAPRE1,STIM1,RPN2,COX8A_target,COX8A_target,MAPRE1,ASF1A,SEC61B_Cterm,CLTA,CENPA,RAB4A,MAPRE1,STIM1,RPN2,COX8A_target,COX8A_target,MAPRE1,ASF1A,SEC61B_Cterm,CLTA,LAMP3,LCK
,,,,,,,,,,,CENPA,LNPK_Nterm,SEC62,EBAG9,PFN1,GOLGA2,EBAG9,LYN,RHOB,RPS24,RAB5C,CENPA,LNPK_Nterm,SEC62,EBAG9,PFN1,GOLGA2,EBAG9,LYN,RHOB,DCTN1,LMNA
,,,,,,,,,,,SYNE3_Nterm,DDX23,LRRC59_Cterm,AIFM1,LRRC59_Cterm,PFN1,OCLN,RAB5A,DHFRL1,RPN2,RAB9A,SYNE3_Nterm,DDX23,LRRC59_Cterm,AIFM1,LRRC59_Cterm,PFN1,OCLN,RAB5A,DHFRL1,RPN2,LRRC59_Cterm
,,,,,,,,,,,C11orf52,RAB11A,GJA1,PRPF8,POLR2C,LRRC59_Cterm,GJD3,POLR2C,TUBB,ZNF330_target,RPL31,C11orf52,RAB11A,GJA1,PRPF8,POLR2C,LRRC59_Cterm,GJD3,POLR2C,TUBB,STX7,LYN
,,,,,,,,,,,ELOVL5,B3GAT1,STX7,FLOT1,TUBB,NUP155_Cterm,LAMP1,CBX3,COX8A_target,RAB35,RPS20,ELOVL5,B3GAT1,STX7,FLOT1,TUBB,NUP155_Cterm,LAMP1,CBX3,COX8A_target,ATP2A1,MAPRE1
,,,,,,,,,,,PCM1,FLOT1,ATP2A1,LAMP1,NUP155_Cterm,KDM1A,PARP1,ANAPC2,LAMP1,RAB4A,SASS6,PCM1,FLOT1,ATP2A1,LAMP1,NUP155_Cterm,KDM1A,PARP1,ANAPC2,LAMP1,LAMTOR1,MAPRE3
,,,,,,,,,,,VAPA,ELOVL5,SEC61B_Cterm,EZR,ELOVL5,ARF6,PDIA4,NIFK,ASF1A,PFN1,SEC61B_Cterm,VAPA,ELOVL5,SEC61B_Cterm,EZR,ELOVL5,ARF6,PDIA4,NIFK,ASF1A,RAB35,MARCKS
,,,,,,,,,,,SV40_NLS,VAPA,SYNE3_Cterm,SSR1,ARF6,PARD3,ELOVL5,CENPA,LAMTOR1_target_peptide,LRRC59_Cterm,SEC62,SV40_NLS,VAPA,SYNE3_Cterm,SSR1,ARF6,PARD3,ELOVL5,CENPA,LAMTOR1_target_peptide,CENPA,METTL7A
,,,,,,,,,,,DERL1,DHX8,ELOVL5,NDC80,ASH2L,CEP135,ZNF330_target,ASH2L,PRPF8,CAV1,SERBP1,DERL1,DHX8,ELOVL5,NDC80,ASH2L,CEP135,ZNF330_target,ASH2L,PRPF8,RAB5A,MLLT4
,,,,,,,,,,,LAMP2,TMPO,APEX1,SYNE3_Cterm,LAMP1,EBAG9,METTL7A,PRPF8,COX4I1,TRAP1,SFXN1,LAMP2,TMPO,APEX1,SYNE3_Cterm,LAMP1,EBAG9,METTL7A,PRPF8,COX4I1,MAPRE3,NDC80
,,,,,,,,,,,B3GAT1,RPN1,SFXN1,RAB9A,CS,PRPF8,TRAP1,FBL,METTL7A,RAB5C,SQSTM1,B3GAT1,RPN1,SFXN1,RAB9A,CS,PRPF8,TRAP1,FBL,METTL7A,PFN1,NIFK
,,,,,,,,,,,RPN1,RPN2,HSD3B7,LAMP2,PCM1,COX8A_target,FBL,CKAP4,KRT19,LAMP3,SV40_NLS,RPN1,RPN2,HSD3B7,LAMP2,PCM1,COX8A_target,FBL,CKAP4,KRT19,RAB5C,NOP56
,,,,,,,,,,,CD3EAP,MAPRE1,DCTN1,PXMP2,GJD3,SSR1,CALR3,ELOVL5,HSD3B7,EBAG9,SYNE3_Nterm,CD3EAP,MAPRE1,DCTN1,PXMP2,GJD3,SSR1,CALR3,ELOVL5,HSD3B7,SFXN1,OCLN
,,,,,,,,,,,ZNF330_target,RAB35,EMD,ASH2L,NDC80,NDC80,COX4I1,AARS2,ZYX,STX7,TERF2IP,ZNF330_target,RAB35,EMD,ASH2L,NDC80,NDC80,COX4I1,AARS2,ZYX,CAV1,PARP1
