Chi2_40,F_classif_40,Mutual_Info_40,Lasso_40,Ridge_40,Elastic_Net_40,Random_Forest_40,Gradient_Boosting_40,XGBoost_40,Neural_Network_40,GENBAIT_40,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_80,F_classif_80,Mutual_Info_80,Lasso_80,Ridge_80,Elastic_Net_80,Random_Forest_80,Gradient_Boosting_80,XGBoost_80,Neural_Network_80,GENBAIT_80
COIL,COIL,CS,DCTN1,PDHA1,LAMTOR1_target_peptide,SFXN1,LRRC59_Cterm,SYNE3_Nterm,CS,DHX8,COIL,COIL,CS,DCTN1,PDHA1,LAMTOR1_target_peptide,SFXN1,LRRC59_Cterm,SYNE3_Nterm,LAMP2,CLTA,COIL,COIL,CS,DCTN1,PDHA1,LAMTOR1_target_peptide,SFXN1,LRRC59_Cterm,SYNE3_Nterm,COX8A_target,CENPA
TERF2IP,SEC61B_Nterm,SEC62,DHX8,SFXN1,DDX23,RHOB,DHX8,LAMP2,COX8A_target,EMD,TERF2IP,SEC61B_Nterm,SEC62,DHX8,SFXN1,DDX23,RHOB,DHX8,LAMP2,RHOB,COIL,TERF2IP,SEC61B_Nterm,SEC62,DHX8,SFXN1,DDX23,RHOB,DHX8,LAMP2,CS,CEP135
HIST1H2BG,SEC62,COX8A_target,FBL,CD3EAP,SFXN1,HNRNPA1,CYP2C1_sigseq,SEC61B_Cterm,CD3EAP,GJD3,HIST1H2BG,SEC62,COX8A_target,FBL,CD3EAP,SFXN1,HNRNPA1,CYP2C1_sigseq,SEC61B_Cterm,KRAS_Q61H,COX4I1,HIST1H2BG,SEC62,COX8A_target,FBL,CD3EAP,SFXN1,HNRNPA1,CYP2C1_sigseq,SEC61B_Cterm,AKAP1_target,COIL
PDIA4,TERF2IP,LAMTOR1_target_peptide,SV40_NLS,DDX23,HIST1H2BG,CBX3,HNRNPA1,NDC80,AKAP1_target,HIST1H2BG,PDIA4,TERF2IP,LAMTOR1_target_peptide,SV40_NLS,DDX23,HIST1H2BG,CBX3,HNRNPA1,NDC80,DDX23,COX8A_target,PDIA4,TERF2IP,LAMTOR1_target_peptide,SV40_NLS,DDX23,HIST1H2BG,CBX3,HNRNPA1,NDC80,HIST1H2BG,COX4I1
COX8A_target,PDIA4,RAB9A,MAPRE3,COX4I1,PDHA1,DDX23,RHOB,HNRNPA1,DDX23,KRAS_target,COX8A_target,PDIA4,RAB9A,MAPRE3,COX4I1,PDHA1,DDX23,RHOB,HNRNPA1,AARS2,CS,COX8A_target,PDIA4,RAB9A,MAPRE3,COX4I1,PDHA1,DDX23,RHOB,HNRNPA1,DDX23,COX8A_target
SEC62,METTL7A,HSD17B11,NDC80,KRAS_target,CD3EAP,LAMP2,ACTB,DCTN1,AARS2,KRT8,SEC62,METTL7A,HSD17B11,NDC80,KRAS_target,CD3EAP,LAMP2,ACTB,DCTN1,AKAP1_target,CYP2C1_sigseq,SEC62,METTL7A,HSD17B11,NDC80,KRAS_target,CD3EAP,LAMP2,ACTB,DCTN1,CD3EAP,CS
KRAS_target,HSD17B11,LRRC59_Nterm,SEC61B_Cterm,LAMTOR1_target_peptide,SEC61B_Cterm,ACTB,RPS20,CS,SV40_NLS,LAMP2,KRAS_target,HSD17B11,LRRC59_Nterm,SEC61B_Cterm,LAMTOR1_target_peptide,SEC61B_Cterm,ACTB,RPS20,CS,CD3EAP,DCTN1,KRAS_target,HSD17B11,LRRC59_Nterm,SEC61B_Cterm,LAMTOR1_target_peptide,SEC61B_Cterm,ACTB,RPS20,CS,AARS2,CTNNB1
RPS24,HIST1H2BG,RPL31,CBX3,PCM1,SV40_NLS,CS,PCM1,TERF2IP,CBX3,LAMTOR1_target_peptide,RPS24,HIST1H2BG,RPL31,CBX3,PCM1,SV40_NLS,CS,PCM1,TERF2IP,PARP1,DDX23,RPS24,HIST1H2BG,RPL31,CBX3,PCM1,SV40_NLS,CS,PCM1,TERF2IP,SV40_NLS,CYP2C1_sigseq
KRAS_Q61H,COX8A_target,ZNF330_target,PDHA1,ASF1A,COX4I1,LAMTOR1_target_peptide,DCTN1,COX4I1,PARP1,MAPRE3,KRAS_Q61H,COX8A_target,ZNF330_target,PDHA1,ASF1A,COX4I1,LAMTOR1_target_peptide,DCTN1,COX4I1,CBX3,DHX8,KRAS_Q61H,COX8A_target,ZNF330_target,PDHA1,ASF1A,COX4I1,LAMTOR1_target_peptide,DCTN1,COX4I1,PARP1,DCTN1
SEC61B_Nterm,RPS24,SV40_NLS,LAMTOR1_target_peptide,CENPA,DHX8,DHX8,NDC80,AKAP1_target,LAMP2,OCLN,SEC61B_Nterm,RPS24,SV40_NLS,LAMTOR1_target_peptide,CENPA,DHX8,DHX8,NDC80,AKAP1_target,RAB9A,ELOVL5,SEC61B_Nterm,RPS24,SV40_NLS,LAMTOR1_target_peptide,CENPA,DHX8,DHX8,NDC80,AKAP1_target,LAMTOR1,DDX23
HNRNPA1,KRAS_target,COIL,RPL31,LAMP1,B3GAT1,SV40_NLS,SFXN1,HIST1H2BG,ZNF330_target,PCM1,HNRNPA1,KRAS_target,COIL,RPL31,LAMP1,B3GAT1,SV40_NLS,SFXN1,HIST1H2BG,SV40_NLS,FBL,HNRNPA1,KRAS_target,COIL,RPL31,LAMP1,B3GAT1,SV40_NLS,SFXN1,HIST1H2BG,RAB9A,DHX40
METTL7A,KRAS_Q61H,RAB35,B3GAT1,KRAS_Q61H,LAMP1,AARS2,CBX3,RDX,LAMTOR1,PDHA1,METTL7A,KRAS_Q61H,RAB35,B3GAT1,KRAS_Q61H,LAMP1,AARS2,CBX3,RDX,ZNF330_target,FLOT1,METTL7A,KRAS_Q61H,RAB35,B3GAT1,KRAS_Q61H,LAMP1,AARS2,CBX3,RDX,METTL7A,DHX8
SYNE3_Cterm,CALR3,AKAP1_target,LAMP2,PARP1,KRAS_target,SEC61B_Cterm,RPS24,BCAP31,PCM1,POLR1E,SYNE3_Cterm,CALR3,AKAP1_target,LAMP2,PARP1,KRAS_target,SEC61B_Cterm,RPS24,BCAP31,METTL7A,GJA1,SYNE3_Cterm,CALR3,AKAP1_target,LAMP2,PARP1,KRAS_target,SEC61B_Cterm,RPS24,BCAP31,STX7,ELOVL5
CALR3,SYNE3_Cterm,AARS2,ACTB,RHOB,CENPA,LRRC59_Cterm,SEC62,B3GAT1,CENPA,RAB11A,CALR3,SYNE3_Cterm,AARS2,ACTB,RHOB,CENPA,LRRC59_Cterm,SEC62,B3GAT1,LAMTOR1,GJD3,CALR3,SYNE3_Cterm,AARS2,ACTB,RHOB,CENPA,LRRC59_Cterm,SEC62,B3GAT1,CBX3,EMD
SERBP1,LAMP2,LRRC59_Cterm,CD3EAP,RPL31,DCTN1,RPL31,SV40_NLS,ACTB,STX7,RAB5C,SERBP1,LAMP2,LRRC59_Cterm,CD3EAP,RPL31,DCTN1,RPL31,SV40_NLS,ACTB,RPL31,HIST1H2BG,SERBP1,LAMP2,LRRC59_Cterm,CD3EAP,RPL31,DCTN1,RPL31,SV40_NLS,ACTB,ZNF330_target,FBL
PCM1,SSR1,DDX23,ASF1A,SEC61B_Cterm,LAMP2,PCM1,RPL31,COIL,GJD3,RPL31,PCM1,SSR1,DDX23,ASF1A,SEC61B_Cterm,LAMP2,PCM1,RPL31,COIL,GJD3,HSD17B11,PCM1,SSR1,DDX23,ASF1A,SEC61B_Cterm,LAMP2,PCM1,RPL31,COIL,RPL31,GJA1
DDX23,NIFK,B3GAT1,AIFM1,SV40_NLS,ACTB,NDC80,LAMTOR1_target_peptide,PDIA4,RAB9A,RPS20,DDX23,NIFK,B3GAT1,AIFM1,SV40_NLS,ACTB,NDC80,LAMTOR1_target_peptide,PDIA4,LAMP3,KRAS_Q61H,DDX23,NIFK,B3GAT1,AIFM1,SV40_NLS,ACTB,NDC80,LAMTOR1_target_peptide,PDIA4,PCM1,HIST1H2BG
DHX8,TRAP1,CD3EAP,COX4I1,B3GAT1,ASF1A,DCTN1,B3GAT1,PCM1,METTL7A,RPS24,DHX8,TRAP1,CD3EAP,COX4I1,B3GAT1,ASF1A,DCTN1,B3GAT1,PCM1,CENPA,KRAS_target,DHX8,TRAP1,CD3EAP,COX4I1,B3GAT1,ASF1A,DCTN1,B3GAT1,PCM1,CEP135,HSD17B11
LAMP2,RHOB,SSR1,METTL7A,DHX8,NDC80,B3GAT1,ASF1A,DHX8,RPL31,SEC61B_Cterm,LAMP2,RHOB,SSR1,METTL7A,DHX8,NDC80,B3GAT1,ASF1A,DHX8,STX7,KRT8,LAMP2,RHOB,SSR1,METTL7A,DHX8,NDC80,B3GAT1,ASF1A,DHX8,SEC61B_Nterm,KRAS_Q61H
