Chi2_30,F_classif_30,Mutual_Info_30,Lasso_30,Ridge_30,Elastic_Net_30,Random_Forest_30,Gradient_Boosting_30,XGBoost_30,Neural_Network_30,GENBAIT_30,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_90,F_classif_90,Mutual_Info_90,Lasso_90,Ridge_90,Elastic_Net_90,Random_Forest_90,Gradient_Boosting_90,XGBoost_90,Neural_Network_90,GENBAIT_90
,,,,,,,,,,,,,,,,,,,,,,SNRPN_CBF,SNRPB_CBF,QKI_CBF,TMPO_NBF,LSM4_CBF,PTBP1_CBF,HNRNPR_iso2_CBF,NUP155_NBF,SRSF5_CBF,HIPK2_NBF,SMARCA2_CBF
,,,,,,,,,,,,,,,,,,,,,,FBL_NBF,SP100_CBF,HNRNPR_iso4_CBF,RIOK1_CBF,CPSF6_CBF,HNRNPA1_CBF,FBL_NBF,ILF3_CBF,HNRNPA1_CBF,SRRM4_NBF,SNRPB_CBF
,,,,,,,,,,,,,,,,,,,,,,LSM4_CBF,ESRP1_CBF,NGDN_CBF,SNRPB2_CBF,KHDRBS2_CBF,SRSF5_CBF,GNL2_CBF,INO80E_CBF,NUP155_NBF,RPS24_NBF,SNRPD3_CBF
,,,,,,,,,,,,,,,,,,,,,,DDX23_NBF,SNRPD3_CBF,GNL2_CBF,ILF3_CBF,SRRM4_NBF,AFDN_NBF,USP7_NBF,SRSF1_CBF,NOP58_CBF,HNRNPDL_CBF,SNRPD3_NBF
,,,,,,,,,,,,,,,,,,,,,,CPSF6_NBF,SUMO1_NBF,SUMO1_NBF,QKI_CBF,NGDN_NBF,PHAX_NBF,TRIM22_CBF,RPS24_NBF,KHDRBS2_CBF,CDKN2AIP_CBF,SNRPN_CBF
,,,,,,,,,,,,,,,,,,,,,,CDKN2AIP_CBF,NUP50_NBF,LSM4_NBF,ESRP1_CBF,SNRPN_CBF,KHDRBS1_CBF,HIPK2_NBF,SNRPB2_CBF,SMN_CBF,SUMO1_NBF,SNRPN_NBF
,,,,,,,,,,,,,,,,,,,,,,SNRPN_NBF,EIF4A3_CBF,CDKN2AIP_CBF,NUP155_NBF,HSF1_CBF,HNRNPL_NBF,RPS24_NBF,HIPK2_NBF,NXT1_CBF,GNL2_CBF,SP100_CBF
,,,,,,,,,,,,,,,,,,,,,,SFPQ_NBF,PML_NBF,SNRPN_CBF,HIPK2_NBF,UTP4_CBF,INO80E_CBF,FAM118B_CBF,PTBP1_CBF,HIPK2_NBF,NUP50_NBF,SP100_NBF
,,,,,,,,,,,,,,,,,,,,,,GEMIN7_CBF,LSM4_CBF,CBX2_CBF,RPS6_NBF,SFPQ_NBF,DKC1_CBF,FUS_NBF,KHDRBS1_CBF,LSM10_CBF,SP100_NBF,SRRM4_NBF
,,,,,,,,,,,,,,,,,,,,,,PSPC1_NBF,LSM4_NBF,CPSF6_NBF,FAM118B_CBF,LSM4_NBF,KHDRBS2_CBF,SRSF1_NBF,EAF2_NBF,GAR1_CBF,NXT1_CBF,SRSF1_CBF
,,,,,,,,,,,,,,,,,,,,,,HIPK2_NBF,NONO_NBF,GEMIN7_CBF,KHDRBS1_CBF,LUC7L2_CBF,SNRPB2_CBF,SFPQ_NBF,ZC3H11A_CBF,NGDN_NBF,LMNB1_NBF,SRSF1_NBF
,,,,,,,,,,,,,,,,,,,,,,EIF4A3_CBF,DROSHA_NBF,NUP155_CBF,KHDRBS2_CBF,PML_NBF,FAM118B_CBF,PHAX_NBF,TP53_CBF,MFAP1_CBF,GEMIN7_CBF,SRSF4_CBF
,,,,,,,,,,,,,,,,,,,,,,NOP58_CBF,NOP58_CBF,COIL_NBF,SURF6_CBF,NOP58_CBF,RPS6_NBF,LSM4_NBF,HSF1_CBF,PARN_CBF,HNRNPR_iso1_CBF,SRSF5_CBF
,,,,,,,,,,,,,,,,,,,,,,SNRPD3_CBF,PML_CBF,LSM10_CBF,SNRPB2_NBF,ESRP1_CBF,HNRNPK_CBF,RIOK1_CBF,FBL_NBF,ILF3_CBF,ESRP1_CBF,SRSF7_CBF
,,,,,,,,,,,,,,,,,,,,,,HNRNPUL1_CBF,CDKN2AIP_CBF,SNRPB_CBF,NXT1_CBF,SRSF1_NBF,HSF1_CBF,HNRNPDL_CBF,HNRNPM_CBF,HNRNPL_NBF,NGDN_CBF,SS18L1_CBF
